"session_timestamp","session_task","session_focus_seconds","session_wait_seconds","session_ratio","interval_index","interval_start","interval_focus_seconds","interval_wait_seconds","interval_ratio"
"2026-04-06T07:30:00.000Z","Weekly priorities and CEO agenda planning","84","20","4.2x","1","2026-04-06T07:31:00.000Z","32","6","5.3x"
"2026-04-06T07:30:00.000Z","Weekly priorities and CEO agenda planning","84","20","4.2x","2","2026-04-06T08:12:00.000Z","28","4","7.0x"
"2026-04-06T07:30:00.000Z","Weekly priorities and CEO agenda planning","84","20","4.2x","3","2026-04-06T08:49:00.000Z","24","10","2.4x"
"2026-04-06T10:15:00.000Z","Leadership team 1:1 notes and decisions","56","35","1.6x","1","2026-04-06T10:16:00.000Z","18","12","1.5x"
"2026-04-06T10:15:00.000Z","Leadership team 1:1 notes and decisions","56","35","1.6x","2","2026-04-06T10:50:00.000Z","22","9","2.4x"
"2026-04-06T10:15:00.000Z","Leadership team 1:1 notes and decisions","56","35","1.6x","3","2026-04-06T11:28:00.000Z","16","14","1.1x"
"2026-04-06T13:30:00.000Z","Board update outline and KPI narrative","76","80","0.9x","1","2026-04-06T13:32:00.000Z","26","18","1.4x"
"2026-04-06T13:30:00.000Z","Board update outline and KPI narrative","76","80","0.9x","2","2026-04-06T14:20:00.000Z","20","22","0.9x"
"2026-04-06T13:30:00.000Z","Board update outline and KPI narrative","76","80","0.9x","3","2026-04-06T15:06:00.000Z","18","15","1.2x"
"2026-04-06T13:30:00.000Z","Board update outline and KPI narrative","76","80","0.9x","4","2026-04-06T15:42:00.000Z","12","25","0.5x"
"2026-04-06T15:45:00.000Z","Customer escalation review with product and support","50","36","1.4x","1","2026-04-06T15:47:00.000Z","17","11","1.5x"
"2026-04-06T15:45:00.000Z","Customer escalation review with product and support","50","36","1.4x","2","2026-04-06T16:19:00.000Z","14","16","0.9x"
"2026-04-06T15:45:00.000Z","Customer escalation review with product and support","50","36","1.4x","3","2026-04-06T16:53:00.000Z","19","9","2.1x"
"2026-04-07T07:10:00.000Z","Product strategy memo for Q3 bets","93","19","4.9x","1","2026-04-07T07:11:00.000Z","35","5","7.0x"
"2026-04-07T07:10:00.000Z","Product strategy memo for Q3 bets","93","19","4.9x","2","2026-04-07T07:58:00.000Z","31","6","5.2x"
"2026-04-07T07:10:00.000Z","Product strategy memo for Q3 bets","93","19","4.9x","3","2026-04-07T08:42:00.000Z","27","8","3.4x"
"2026-04-07T09:50:00.000Z","Exec team hiring calibration","55","39","1.4x","1","2026-04-07T09:52:00.000Z","21","12","1.8x"
"2026-04-07T09:50:00.000Z","Exec team hiring calibration","55","39","1.4x","2","2026-04-07T10:30:00.000Z","19","10","1.9x"
"2026-04-07T09:50:00.000Z","Exec team hiring calibration","55","39","1.4x","3","2026-04-07T11:04:00.000Z","15","17","0.9x"
"2026-04-07T12:40:00.000Z","Investor update draft and metrics review","76","64","1.2x","1","2026-04-07T12:42:00.000Z","24","14","1.7x"
"2026-04-07T12:40:00.000Z","Investor update draft and metrics review","76","64","1.2x","2","2026-04-07T13:23:00.000Z","20","12","1.7x"
"2026-04-07T12:40:00.000Z","Investor update draft and metrics review","76","64","1.2x","3","2026-04-07T13:58:00.000Z","18","18","1.0x"
"2026-04-07T12:40:00.000Z","Investor update draft and metrics review","76","64","1.2x","4","2026-04-07T14:40:00.000Z","14","20","0.7x"
"2026-04-07T15:20:00.000Z","Budget tradeoff decisions with finance","42","65","0.6x","1","2026-04-07T15:22:00.000Z","16","18","0.9x"
"2026-04-07T15:20:00.000Z","Budget tradeoff decisions with finance","42","65","0.6x","2","2026-04-07T16:00:00.000Z","14","21","0.7x"
"2026-04-07T15:20:00.000Z","Budget tradeoff decisions with finance","42","65","0.6x","3","2026-04-07T16:42:00.000Z","12","26","0.5x"
"2026-04-08T07:25:00.000Z","Write town hall narrative and company priorities","101","17","5.9x","1","2026-04-08T07:26:00.000Z","38","4","9.5x"
"2026-04-08T07:25:00.000Z","Write town hall narrative and company priorities","101","17","5.9x","2","2026-04-08T08:16:00.000Z","34","6","5.7x"
"2026-04-08T07:25:00.000Z","Write town hall narrative and company priorities","101","17","5.9x","3","2026-04-08T09:01:00.000Z","29","7","4.1x"
"2026-04-08T10:40:00.000Z","Partnership negotiation prep","60","29","2.1x","1","2026-04-08T10:42:00.000Z","23","8","2.9x"
"2026-04-08T10:40:00.000Z","Partnership negotiation prep","60","29","2.1x","2","2026-04-08T11:17:00.000Z","20","11","1.8x"
"2026-04-08T10:40:00.000Z","Partnership negotiation prep","60","29","2.1x","3","2026-04-08T11:52:00.000Z","17","10","1.7x"
"2026-04-08T13:10:00.000Z","Open inbox, approvals, and contract review","42","68","0.6x","1","2026-04-08T13:12:00.000Z","12","16","0.8x"
"2026-04-08T13:10:00.000Z","Open inbox, approvals, and contract review","42","68","0.6x","2","2026-04-08T13:45:00.000Z","10","18","0.6x"
"2026-04-08T13:10:00.000Z","Open inbox, approvals, and contract review","42","68","0.6x","3","2026-04-08T14:18:00.000Z","9","20","0.5x"
"2026-04-08T13:10:00.000Z","Open inbox, approvals, and contract review","42","68","0.6x","4","2026-04-08T14:49:00.000Z","11","14","0.8x"
"2026-04-08T16:00:00.000Z","Review product roadmap with chief of staff","47","36","1.3x","1","2026-04-08T16:02:00.000Z","18","9","2.0x"
"2026-04-08T16:00:00.000Z","Review product roadmap with chief of staff","47","36","1.3x","2","2026-04-08T16:33:00.000Z","16","12","1.3x"
"2026-04-08T16:00:00.000Z","Review product roadmap with chief of staff","47","36","1.3x","3","2026-04-08T17:05:00.000Z","13","15","0.9x"
"2026-04-09T07:15:00.000Z","Quarterly narrative for board deck","93","21","4.4x","1","2026-04-09T07:16:00.000Z","36","5","7.2x"
"2026-04-09T07:15:00.000Z","Quarterly narrative for board deck","93","21","4.4x","2","2026-04-09T08:04:00.000Z","32","7","4.6x"
"2026-04-09T07:15:00.000Z","Quarterly narrative for board deck","93","21","4.4x","3","2026-04-09T08:49:00.000Z","25","9","2.8x"
"2026-04-09T10:05:00.000Z","Recruiting debriefs for VP candidates","51","38","1.3x","1","2026-04-09T10:07:00.000Z","19","11","1.7x"
"2026-04-09T10:05:00.000Z","Recruiting debriefs for VP candidates","51","38","1.3x","2","2026-04-09T10:43:00.000Z","17","14","1.2x"
"2026-04-09T10:05:00.000Z","Recruiting debriefs for VP candidates","51","38","1.3x","3","2026-04-09T11:20:00.000Z","15","13","1.2x"
"2026-04-09T12:55:00.000Z","Review customer pipeline and enterprise deals","56","43","1.3x","1","2026-04-09T12:56:00.000Z","22","12","1.8x"
"2026-04-09T12:55:00.000Z","Review customer pipeline and enterprise deals","56","43","1.3x","2","2026-04-09T13:35:00.000Z","18","14","1.3x"
"2026-04-09T12:55:00.000Z","Review customer pipeline and enterprise deals","56","43","1.3x","3","2026-04-09T14:12:00.000Z","16","17","0.9x"
"2026-04-09T15:35:00.000Z","Admin catch-up and expense approvals","28","58","0.5x","1","2026-04-09T15:36:00.000Z","11","18","0.6x"
"2026-04-09T15:35:00.000Z","Admin catch-up and expense approvals","28","58","0.5x","2","2026-04-09T16:08:00.000Z","9","21","0.4x"
"2026-04-09T15:35:00.000Z","Admin catch-up and expense approvals","28","58","0.5x","3","2026-04-09T16:41:00.000Z","8","19","0.4x"
"2026-04-10T07:20:00.000Z","Weekly reflection and next week planning","78","23","3.4x","1","2026-04-10T07:22:00.000Z","30","6","5.0x"
"2026-04-10T07:20:00.000Z","Weekly reflection and next week planning","78","23","3.4x","2","2026-04-10T08:03:00.000Z","27","7","3.9x"
"2026-04-10T07:20:00.000Z","Weekly reflection and next week planning","78","23","3.4x","3","2026-04-10T08:42:00.000Z","21","10","2.1x"
"2026-04-10T09:55:00.000Z","Company all-hands review and follow-ups","46","36","1.3x","1","2026-04-10T09:57:00.000Z","18","10","1.8x"
"2026-04-10T09:55:00.000Z","Company all-hands review and follow-ups","46","36","1.3x","2","2026-04-10T10:31:00.000Z","15","12","1.3x"
"2026-04-10T09:55:00.000Z","Company all-hands review and follow-ups","46","36","1.3x","3","2026-04-10T11:03:00.000Z","13","14","0.9x"
"2026-04-10T12:30:00.000Z","Review metrics, approve launches, and delegate next actions","45","69","0.7x","1","2026-04-10T12:32:00.000Z","14","16","0.9x"
"2026-04-10T12:30:00.000Z","Review metrics, approve launches, and delegate next actions","45","69","0.7x","2","2026-04-10T13:05:00.000Z","12","18","0.7x"
"2026-04-10T12:30:00.000Z","Review metrics, approve launches, and delegate next actions","45","69","0.7x","3","2026-04-10T13:39:00.000Z","10","20","0.5x"
"2026-04-10T12:30:00.000Z","Review metrics, approve launches, and delegate next actions","45","69","0.7x","4","2026-04-10T14:12:00.000Z","9","15","0.6x"
